"X","baller","batter","balls","runsperball","extra","total_score","wickets","country","innings","toss_decision","toss_winner","margin","match_winner","batter_style","bowler_style"
1,"GD McGrath","SC Ganguly",0.1,2,FALSE,2,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
2,"GD McGrath","SC Ganguly",0.2,0,FALSE,2,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
3,"GD McGrath","SC Ganguly",0.3,0,FALSE,2,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
4,"GD McGrath","SC Ganguly",0.4,0,TRUE,3,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
5,"GD McGrath","SR Tendulkar",0.5,0,FALSE,3,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
6,"GD McGrath","SR Tendulkar",0.6,0,FALSE,3,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
7,"B Lee","SC Ganguly",1.1,1,FALSE,4,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
8,"B Lee","SR Tendulkar",1.2,0,FALSE,4,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
9,"B Lee","SR Tendulkar",1.3,0,FALSE,4,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
10,"B Lee","SR Tendulkar",1.4,1,FALSE,5,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
11,"B Lee","SC Ganguly",1.5,0,TRUE,7,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
12,"B Lee","SC Ganguly",1.6,0,FALSE,7,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
13,"GD McGrath","SR Tendulkar",2.1,0,FALSE,7,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
14,"GD McGrath","SR Tendulkar",2.2,1,FALSE,8,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
15,"GD McGrath","SC Ganguly",2.3,0,FALSE,8,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
16,"GD McGrath","SC Ganguly",2.4,0,FALSE,8,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
17,"GD McGrath","SC Ganguly",2.5,0,FALSE,8,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
18,"GD McGrath","SC Ganguly",2.6,1,FALSE,9,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
19,"B Lee","SC Ganguly",3.1,0,FALSE,9,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
20,"B Lee","SC Ganguly",3.2,0,FALSE,9,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
21,"B Lee","SC Ganguly",3.3,0,TRUE,10,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
22,"B Lee","SR Tendulkar",3.4,0,FALSE,10,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
23,"B Lee","SR Tendulkar",3.5,0,FALSE,10,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
24,"B Lee","SR Tendulkar",3.6,0,FALSE,10,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
25,"GD McGrath","SC Ganguly",4.1,0,FALSE,10,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
26,"GD McGrath","SC Ganguly",4.2,4,FALSE,14,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
27,"GD McGrath","SC Ganguly",4.3,0,FALSE,14,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
28,"GD McGrath","SC Ganguly",4.4,0,FALSE,14,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
29,"GD McGrath","SC Ganguly",4.5,0,TRUE,15,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
30,"GD McGrath","SR Tendulkar",4.6,0,FALSE,15,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
31,"B Lee","SC Ganguly",5.1,1,FALSE,16,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
32,"B Lee","SR Tendulkar",5.2,0,TRUE,17,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
33,"B Lee","SR Tendulkar",5.2,4,FALSE,21,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
34,"B Lee","SR Tendulkar",5.3,1,FALSE,22,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
35,"B Lee","SC Ganguly",5.4,0,FALSE,22,1,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
36,"B Lee","V Sehwag",5.5,0,FALSE,22,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
37,"B Lee","V Sehwag",5.6,4,FALSE,26,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
38,"GD McGrath","SR Tendulkar",6.1,2,FALSE,28,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
39,"GD McGrath","SR Tendulkar",6.2,4,FALSE,32,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
40,"GD McGrath","SR Tendulkar",6.3,4,FALSE,36,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
41,"GD McGrath","SR Tendulkar",6.4,2,FALSE,38,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
42,"GD McGrath","SR Tendulkar",6.5,2,FALSE,40,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
43,"GD McGrath","SR Tendulkar",6.6,0,FALSE,40,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
44,"B Lee","V Sehwag",7.1,0,FALSE,40,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
45,"B Lee","V Sehwag",7.2,0,TRUE,41,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
46,"B Lee","V Sehwag",7.2,0,FALSE,41,2,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
47,"B Lee","R Dravid",7.3,0,FALSE,41,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
48,"B Lee","R Dravid",7.4,0,FALSE,41,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
49,"B Lee","R Dravid",7.5,0,FALSE,41,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
50,"B Lee","R Dravid",7.6,1,FALSE,42,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
51,"GD McGrath","R Dravid",8.1,0,FALSE,42,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
52,"GD McGrath","R Dravid",8.2,0,FALSE,42,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
53,"GD McGrath","R Dravid",8.3,0,FALSE,42,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
54,"GD McGrath","R Dravid",8.4,0,FALSE,42,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
55,"GD McGrath","R Dravid",8.5,0,FALSE,42,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
56,"GD McGrath","R Dravid",8.6,0,FALSE,42,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
57,"B Lee","SR Tendulkar",9.1,1,FALSE,43,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
58,"B Lee","R Dravid",9.2,0,FALSE,43,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
59,"B Lee","R Dravid",9.3,0,FALSE,43,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
60,"B Lee","R Dravid",9.4,0,FALSE,43,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
61,"B Lee","R Dravid",9.5,0,FALSE,43,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
62,"B Lee","R Dravid",9.6,0,FALSE,43,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
63,"GD McGrath","SR Tendulkar",10.1,0,FALSE,43,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
64,"GD McGrath","SR Tendulkar",10.2,0,FALSE,43,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
65,"GD McGrath","SR Tendulkar",10.3,0,FALSE,43,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
66,"GD McGrath","SR Tendulkar",10.4,0,FALSE,43,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
67,"GD McGrath","SR Tendulkar",10.5,0,FALSE,43,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
68,"GD McGrath","SR Tendulkar",10.6,0,FALSE,43,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
69,"B Lee","R Dravid",11.1,0,FALSE,43,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
70,"B Lee","R Dravid",11.2,0,TRUE,44,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
71,"B Lee","R Dravid",11.2,0,FALSE,44,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
72,"B Lee","R Dravid",11.3,0,FALSE,44,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
73,"B Lee","R Dravid",11.4,0,FALSE,44,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
74,"B Lee","R Dravid",11.5,0,FALSE,44,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
75,"B Lee","R Dravid",11.6,0,FALSE,44,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
76,"GD McGrath","SR Tendulkar",12.1,0,FALSE,44,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
77,"GD McGrath","SR Tendulkar",12.2,0,FALSE,44,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
78,"GD McGrath","SR Tendulkar",12.3,0,FALSE,44,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
79,"GD McGrath","SR Tendulkar",12.4,0,FALSE,44,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
80,"GD McGrath","SR Tendulkar",12.5,0,FALSE,44,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
81,"GD McGrath","SR Tendulkar",12.6,0,FALSE,44,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
82,"JN Gillespie","R Dravid",13.1,0,FALSE,44,3,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
83,"JN Gillespie","Yuvraj Singh",13.2,0,FALSE,44,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
84,"JN Gillespie","Yuvraj Singh",13.3,0,FALSE,44,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
85,"JN Gillespie","Yuvraj Singh",13.4,0,FALSE,44,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
86,"JN Gillespie","Yuvraj Singh",13.5,0,FALSE,44,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
87,"JN Gillespie","Yuvraj Singh",13.6,0,FALSE,44,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
88,"GD McGrath","SR Tendulkar",14.1,0,FALSE,44,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
89,"GD McGrath","SR Tendulkar",14.2,0,FALSE,44,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
90,"GD McGrath","SR Tendulkar",14.3,1,FALSE,45,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
91,"GD McGrath","Yuvraj Singh",14.4,0,FALSE,45,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
92,"GD McGrath","Yuvraj Singh",14.5,0,FALSE,45,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
93,"GD McGrath","Yuvraj Singh",14.6,0,FALSE,45,4,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
94,"JN Gillespie","SR Tendulkar",15.1,1,FALSE,46,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
95,"JN Gillespie","M Kaif",15.2,0,FALSE,46,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
96,"JN Gillespie","M Kaif",15.3,0,TRUE,47,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
97,"JN Gillespie","M Kaif",15.3,0,FALSE,47,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
98,"JN Gillespie","M Kaif",15.4,0,FALSE,47,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
99,"JN Gillespie","M Kaif",15.5,0,FALSE,47,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
100,"JN Gillespie","M Kaif",15.6,0,FALSE,47,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
101,"A Symonds","SR Tendulkar",16.1,0,TRUE,48,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
102,"A Symonds","SR Tendulkar",16.1,1,FALSE,49,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
103,"A Symonds","M Kaif",16.2,0,FALSE,49,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
104,"A Symonds","M Kaif",16.3,0,FALSE,49,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
105,"A Symonds","M Kaif",16.4,0,FALSE,49,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
106,"A Symonds","M Kaif",16.5,0,FALSE,49,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
107,"A Symonds","M Kaif",16.6,1,FALSE,50,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
108,"JN Gillespie","M Kaif",17.1,0,FALSE,50,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
109,"JN Gillespie","M Kaif",17.2,0,FALSE,50,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
110,"JN Gillespie","M Kaif",17.3,0,FALSE,50,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
111,"JN Gillespie","M Kaif",17.4,0,FALSE,50,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
112,"JN Gillespie","M Kaif",17.5,0,FALSE,50,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
113,"JN Gillespie","M Kaif",17.6,0,FALSE,50,5,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
114,"A Symonds","SR Tendulkar",18.1,1,FALSE,51,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
115,"A Symonds","D Mongia",18.2,0,FALSE,51,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
116,"A Symonds","D Mongia",18.3,0,FALSE,51,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
117,"A Symonds","D Mongia",18.4,0,FALSE,51,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
118,"A Symonds","D Mongia",18.5,2,FALSE,53,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
119,"A Symonds","D Mongia",18.6,0,FALSE,53,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
120,"JN Gillespie","SR Tendulkar",19.1,0,FALSE,53,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
121,"JN Gillespie","SR Tendulkar",19.2,0,FALSE,53,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
122,"JN Gillespie","SR Tendulkar",19.3,1,FALSE,54,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
123,"JN Gillespie","D Mongia",19.4,0,FALSE,54,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
124,"JN Gillespie","D Mongia",19.5,0,FALSE,54,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
125,"JN Gillespie","D Mongia",19.6,0,FALSE,54,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
126,"A Symonds","SR Tendulkar",20.1,0,TRUE,57,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
127,"A Symonds","SR Tendulkar",20.1,1,FALSE,58,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
128,"A Symonds","D Mongia",20.2,4,FALSE,62,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
129,"A Symonds","D Mongia",20.3,0,FALSE,62,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
130,"A Symonds","D Mongia",20.4,0,FALSE,62,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
131,"A Symonds","D Mongia",20.5,2,FALSE,64,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
132,"A Symonds","D Mongia",20.6,0,FALSE,64,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
133,"JN Gillespie","SR Tendulkar",21.1,0,FALSE,64,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
134,"JN Gillespie","SR Tendulkar",21.2,1,FALSE,65,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
135,"JN Gillespie","D Mongia",21.3,0,FALSE,65,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
136,"JN Gillespie","D Mongia",21.4,0,FALSE,65,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
137,"JN Gillespie","D Mongia",21.5,0,FALSE,65,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
138,"JN Gillespie","D Mongia",21.6,1,FALSE,66,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
139,"A Symonds","D Mongia",22.1,0,FALSE,66,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
140,"A Symonds","D Mongia",22.2,0,FALSE,66,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
141,"A Symonds","D Mongia",22.3,0,FALSE,66,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
142,"A Symonds","D Mongia",22.4,1,FALSE,67,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
143,"A Symonds","SR Tendulkar",22.5,1,FALSE,68,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
144,"A Symonds","D Mongia",22.6,0,FALSE,68,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
145,"JN Gillespie","SR Tendulkar",23.1,0,FALSE,68,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
146,"JN Gillespie","SR Tendulkar",23.2,1,FALSE,69,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
147,"JN Gillespie","D Mongia",23.3,0,FALSE,69,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
148,"JN Gillespie","D Mongia",23.4,0,FALSE,69,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
149,"JN Gillespie","D Mongia",23.5,0,FALSE,69,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
150,"JN Gillespie","D Mongia",23.6,0,FALSE,69,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
151,"A Symonds","SR Tendulkar",24.1,0,TRUE,70,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
152,"A Symonds","SR Tendulkar",24.1,0,FALSE,70,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
153,"A Symonds","SR Tendulkar",24.2,0,FALSE,70,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
154,"A Symonds","SR Tendulkar",24.3,0,FALSE,70,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
155,"A Symonds","SR Tendulkar",24.4,2,FALSE,72,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
156,"A Symonds","SR Tendulkar",24.5,0,FALSE,72,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
157,"A Symonds","SR Tendulkar",24.6,1,FALSE,73,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
158,"JN Gillespie","SR Tendulkar",25.1,0,FALSE,73,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
159,"JN Gillespie","SR Tendulkar",25.2,1,FALSE,74,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
160,"JN Gillespie","D Mongia",25.3,0,FALSE,74,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
161,"JN Gillespie","D Mongia",25.4,0,FALSE,74,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
162,"JN Gillespie","D Mongia",25.5,0,FALSE,74,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
163,"JN Gillespie","D Mongia",25.6,0,FALSE,74,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
164,"A Symonds","SR Tendulkar",26.1,0,TRUE,75,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
165,"A Symonds","SR Tendulkar",26.1,0,FALSE,75,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
166,"A Symonds","SR Tendulkar",26.2,0,FALSE,75,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
167,"A Symonds","SR Tendulkar",26.3,1,FALSE,76,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
168,"A Symonds","D Mongia",26.4,0,FALSE,76,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
169,"A Symonds","D Mongia",26.5,0,FALSE,76,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
170,"A Symonds","D Mongia",26.6,1,FALSE,77,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
171,"JN Gillespie","D Mongia",27.1,0,FALSE,77,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
172,"JN Gillespie","D Mongia",27.2,1,FALSE,78,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
173,"JN Gillespie","SR Tendulkar",27.3,0,FALSE,78,6,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
174,"JN Gillespie","A Kumble",27.4,1,FALSE,79,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
175,"JN Gillespie","D Mongia",27.5,1,FALSE,80,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
176,"JN Gillespie","A Kumble",27.6,0,FALSE,80,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
177,"B Lee","D Mongia",28.1,0,FALSE,80,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
178,"B Lee","D Mongia",28.2,0,FALSE,80,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
179,"B Lee","D Mongia",28.3,0,FALSE,80,7,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
180,"B Lee","Harbhajan Singh",28.4,0,FALSE,80,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
181,"B Lee","Harbhajan Singh",28.5,0,FALSE,80,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
182,"B Lee","Harbhajan Singh",28.6,4,FALSE,84,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
183,"JN Gillespie","A Kumble",29.1,0,FALSE,84,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
184,"JN Gillespie","A Kumble",29.2,0,FALSE,84,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
185,"JN Gillespie","A Kumble",29.3,1,FALSE,85,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
186,"JN Gillespie","Harbhajan Singh",29.4,0,FALSE,85,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
187,"JN Gillespie","Harbhajan Singh",29.5,0,FALSE,85,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
188,"JN Gillespie","Harbhajan Singh",29.6,1,FALSE,86,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
189,"B Lee","Harbhajan Singh",30.1,0,FALSE,86,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
190,"B Lee","Harbhajan Singh",30.2,4,FALSE,90,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
191,"B Lee","Harbhajan Singh",30.3,6,FALSE,96,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
192,"B Lee","Harbhajan Singh",30.4,0,FALSE,96,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
193,"B Lee","Harbhajan Singh",30.5,0,FALSE,96,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
194,"B Lee","Harbhajan Singh",30.6,0,FALSE,96,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
195,"JN Gillespie","A Kumble",31.1,0,FALSE,96,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
196,"JN Gillespie","A Kumble",31.2,0,FALSE,96,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
197,"JN Gillespie","A Kumble",31.3,0,FALSE,96,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
198,"JN Gillespie","A Kumble",31.4,0,FALSE,96,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
199,"JN Gillespie","A Kumble",31.5,1,FALSE,97,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
200,"JN Gillespie","Harbhajan Singh",31.6,0,FALSE,97,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
201,"B Lee","A Kumble",32.1,0,FALSE,97,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
